,Country,Region,Electricity,Electricity_fj5,Education,Education_fj5,Energy,Energy_fj5,Reserves,Reserves_fj5
0,China,East and Southeast Asia,2949000000,4,36,1,113805000,1,3450000000000,4
1,Japan,East and Southeast Asia,361617000,2,34,1,129504000,1,1295000000000,3
2,Switzerland,Europe,26502000,0,52,2,99578000,1,863892000000,3
3,United States,North America,1235000000,3,61,3,278474000,2,773426000000,3
4,India,South Asia,499136000,2,45,2,25179000,0,627793000000,2
5,Russia,Central Asia,301926000,2,37,1,224858000,2,597217000000,2
6,Saudi Arabia,Middle East,119620000,1,78,3,349692000,3,457949000000,2
7,Hong Kong,East and Southeast Asia,13300000,0,40,1,116811000,1,425554000000,2
8,"Korea, South",East and Southeast Asia,151139000,1,47,2,234668000,2,420930000000,2
9,Singapore,East and Southeast Asia,13134000,0,28,1,643259000,4,359835000000,2
10,Brazil,South America,240251000,2,60,3,48889000,0,355021000000,2
11,Germany,Europe,275658000,2,47,2,120457000,1,322700000000,2
12,Italy,Europe,128692000,1,43,2,96797000,1,247396000000,1
13,France,Europe,151463000,1,55,2,123526000,1,240792000000,1
14,Thailand,East and Southeast Asia,55971000,1,32,1,80602000,1,224470000000,1
15,Mexico,North America,105586000,1,43,2,57539000,1,214317000000,1
16,Israel,Middle East,22612000,0,71,3,112437000,1,204661000000,1
17,Poland,Europe,64806000,1,52,2,103651000,1,193783000000,1
18,United Arab Emirates,Middle East,44462000,0,39,1,450432000,3,189491000000,1
19,United Kingdom,Europe,114749000,1,55,2,94280000,1,177915000000,1
20,Czechia,Europe,21802000,0,51,2,136306000,1,148379000000,1
21,Indonesia,East and Southeast Asia,70826000,1,35,1,37390000,0,146359000000,1
22,Turkey (Turkiye),Middle East,106281000,1,34,1,70521000,1,140858000000,1
23,Iran,Middle East,86058000,1,36,1,160779000,2,120600000000,1
24,Canada,North America,161988000,1,52,2,311599000,3,117551000000,1
25,Malaysia,East and Southeast Asia,37220000,0,39,1,113163000,1,113463000000,1
26,Iraq,Middle East,31339000,0,47,2,64311000,1,112233000000,1
27,Denmark,Europe,20794000,0,64,3,98513000,1,109371000000,1
28,Philippines,East and Southeast Asia,29174000,0,37,1,17654000,0,103742000000,1
29,Spain,Europe,130366000,1,46,2,101120000,1,103089000000,1
30,Vietnam,East and Southeast Asia,85725000,1,41,1,40263000,0,92238000000,1
31,Algeria,Africa,22591000,0,70,3,61843000,1,81217000000,0
32,Norway,Europe,41100000,0,59,3,206961000,2,80459000000,0
33,Romania,Europe,19748000,0,37,1,59377000,1,73000000000,0
34,Peru,South America,16164000,0,40,1,30923000,0,71394000000,0
35,Netherlands,Europe,59982000,1,53,2,185536000,2,69830000000,0
36,South Africa,Africa,65989000,1,66,3,86197000,1,62492000000,0
37,Australia,Australia and Oceania,108193000,1,61,3,223158000,2,61703000000,0
38,Sweden,Europe,55307000,1,72,3,142102000,1,60863000000,0
39,Colombia,South America,21053000,0,49,2,29305000,0,59041000000,0
40,Kuwait,Middle East,20294000,0,66,3,389848000,3,52619000000,0
41,Qatar,Middle East,11400000,0,32,1,814308000,4,51539000000,0
42,Chile,South America,39238000,0,56,2,71420000,1,46377000000,0
43,Bulgaria,Europe,12939000,0,40,1,102171000,1,46334000000,0
44,Hungary,Europe,14829000,0,48,2,96152000,1,45719000000,0
45,Belgium,Europe,28248000,0,67,3,190416000,2,40813000000,0
46,Ukraine,Europe,60297000,1,54,2,57856000,1,40510000000,0
47,Morocco,Africa,14615000,0,68,3,23520000,0,36328000000,0
48,Kazakhstan,Central Asia,27624000,0,45,2,172936000,2,35965000000,0
49,Nigeria,Africa,4094000,0,5,0,7993000,0,35564000000,0
50,Portugal,Europe,25409000,0,50,2,73285000,1,35243000000,0
51,Uzbekistan,Central Asia,17901000,0,49,2,55305000,1,34558000000,0
52,Egypt,Africa,59680000,1,25,0,34975000,0,33070000000,0
53,Lebanon,Middle East,5161000,0,17,0,43105000,0,32513000000,0
54,Austria,Europe,33371000,0,51,2,120211000,1,31212000000,0
55,Macau,East and Southeast Asia,427000,0,63,3,64641000,1,27771000000,0
56,Serbia,Europe,8202000,0,36,1,91884000,1,27569000000,0
57,Turkmenistan,Central Asia,6512000,0,31,1,261142000,2,24910000000,0
58,Argentina,South America,47631000,0,50,2,78496000,1,23081000000,0
59,Bangladesh,South Asia,22699000,0,21,0,11472000,0,21860000000,0
60,Guatemala,Central America and the Caribbean,4995000,0,31,1,17096000,0,21311000000,0
61,Cambodia,East and Southeast Asia,3673000,0,31,1,15664000,0,19984000000,0
62,Oman,Middle East,11589000,0,54,2,296586000,3,17298000000,0
63,Finland,Europe,26782000,0,59,3,183540000,2,16929000000,0
64,Uruguay,South America,5682000,0,46,2,45755000,0,16257000000,0
65,Jordan,Middle East,6891000,0,32,1,32909000,0,15560000000,0
66,Dominican Republic,Central America and the Caribbean,6581000,0,46,2,39329000,0,15547000000,0
67,New Zealand,Australia and Oceania,10643000,0,60,3,121647000,1,15487000000,0
68,Angola,Africa,7600000,0,24,0,9146000,0,13942000000,0
69,Azerbaijan,Central Asia,8383000,0,43,2,66467000,1,13749000000,0
70,Pakistan,South Asia,43512000,0,24,0,14076000,0,13730000000,0
71,Greece,Europe,24169000,0,44,2,92693000,1,13608000000,0
72,Costa Rica,Central America and the Caribbean,3751000,0,67,3,30725000,0,13225000000,0
73,Ireland,Europe,12321000,0,31,1,113837000,1,12905000000,0
74,Nepal,South Asia,2853000,0,42,2,6604000,0,12456000000,0
75,Slovakia,Europe,8138000,0,46,2,127582000,1,11288000000,0
76,Paraguay,South America,8928000,0,33,1,25733000,0,9886000000,0
77,Venezuela,South America,33493000,0,13,0,54474000,1,9794000000,0
78,Afghanistan,South Asia,627000,0,29,1,3380000,0,9749000000,0
79,Tunisia,Africa,6639000,0,73,3,33754000,0,9240000000,0
80,Belarus,Europe,12653000,0,47,2,104821000,1,8118000000,0
81,Burma,East and Southeast Asia,7419000,0,21,0,8384000,0,7670000000,0
82,Honduras,Central America and the Caribbean,3334000,0,64,3,16642000,0,7543000000,0
83,Kenya,Africa,3824000,0,48,2,5486000,0,7342000000,0
84,Mauritius,Africa,955000,0,49,2,60188000,1,7248000000,0
85,Panama,Central America and the Caribbean,4485000,0,39,1,78010000,1,6757000000,0
86,Albania,Europe,2857000,0,31,1,27407000,0,6455000000,0
87,Cote d'Ivoire,Africa,2315000,0,34,1,8489000,0,6257000000,0
88,Lithuania,Europe,5426000,0,40,1,83700000,1,6168000000,0
89,Moldova,Europe,779000,0,64,3,35686000,0,5453000000,0
90,Nicaragua,Central America and the Caribbean,1849000,0,46,2,10660000,0,5447000000,0
91,Cameroon,Africa,1798000,0,32,1,4271000,0,5133000000,0
92,Bahrain,Middle East,7031000,0,22,0,554202000,4,5118000000,0
93,"Congo, Democratic Republic of the",Africa,3229000,0,27,0,1305000,0,5104000000,0
94,Tanzania,Africa,1818000,0,33,1,4091000,0,5050000000,0
95,Georgia,Central Asia,4526000,0,36,1,56076000,1,5002000000,0
96,Latvia,Europe,3428000,0,60,3,65908000,1,4957000000,0
97,Jamaica,Central America and the Caribbean,1242000,0,60,3,42095000,0,4869000000,0
98,Mongolia,East and Southeast Asia,1510000,0,47,2,67132000,1,4786000000,0
99,Botswana,Africa,758000,0,87,4,32443000,0,4756000000,0
100,Brunei,East and Southeast Asia,904000,0,44,2,403365000,3,4483000000,0
101,Ecuador,South America,8438000,0,37,1,35700000,0,4442000000,0
102,Papua New Guinea,East and Southeast Asia,1148000,0,14,0,8781000,0,3901000000,0
103,Tajikistan,Central Asia,6481000,0,59,3,16192000,0,3847000000,0
104,Mozambique,Africa,2860000,0,63,3,5789000,0,3637000000,0
105,Ghana,Africa,5519000,0,39,1,10493000,0,3624000000,0
106,Armenia,Central Asia,4265000,0,28,1,54689000,1,3607000000,0
107,El Salvador,Central America and the Caribbean,2803000,0,41,1,24421000,0,3426000000,0
108,Uganda,Africa,1452000,0,27,0,2252000,0,3359000000,0
109,Kyrgyzstan,Central Asia,3944000,0,62,3,27580000,0,3237000000,0
110,Croatia,Europe,5518000,0,55,2,79907000,1,3176000000,0
111,Sri Lanka,South Asia,5326000,0,19,0,12372000,0,3137000000,0
112,Ethiopia,Africa,5690000,0,45,2,2366000,0,3046000000,0
113,Luxembourg,Europe,2212000,0,50,2,224651000,2,2977000000,0
114,Zambia,Africa,3986000,0,37,1,8265000,0,2968000000,0
115,Namibia,Africa,646000,0,96,4,21734000,0,2956000000,0
116,Madagascar,Africa,759000,0,31,1,1816000,0,2632000000,0
117,Estonia,Europe,3225000,0,66,3,73679000,1,2593000000,0
118,Haiti,Central America and the Caribbean,472000,0,14,0,3486000,0,2586000000,0
119,"Bahamas, The",Central America and the Caribbean,608000,0,28,1,104409000,1,2512000000,0
120,Slovenia,Europe,4739000,0,58,3,104502000,1,2370000000,0
121,Mauritania,Africa,812000,0,19,0,14135000,0,2039000000,0
122,Rwanda,Africa,294000,0,38,1,1808000,0,1834000000,0
123,Senegal,Africa,1772000,0,55,2,8303000,0,1827000000,0
124,Bolivia,South America,4375000,0,98,4,29340000,0,1800000000,0
125,Cyprus,Europe,2288000,0,61,3,107188000,1,1789000000,0
126,Laos,East and Southeast Asia,12738000,0,23,0,34463000,0,1770000000,0
127,Barbados,Central America and the Caribbean,320000,0,65,3,68293000,1,1606000000,0
128,Fiji,Australia and Oceania,427000,0,57,3,25375000,0,1548000000,0
129,Guinea,Africa,1060000,0,22,0,5235000,0,1499000000,0
130,Aruba,Central America and the Caribbean,305000,0,55,2,153952000,2,1468000000,0
131,Gabon,Africa,785000,0,32,1,22101000,0,1372000000,0
132,Suriname,South America,537000,0,50,2,60896000,1,1346000000,0
133,West Bank,Middle East,352000,0,53,2,14991000,0,1323000000,0
134,Gaza Strip,Middle East,352000,0,53,2,14991000,0,1323000000,0
135,Niger,Africa,377000,0,38,1,1772000,0,1314000000,0
136,Malta,Europe,829000,0,59,3,234698000,2,1223000000,0
137,Guyana,South America,259000,0,45,2,46045000,0,895275000,0
138,Lesotho,Africa,104000,0,87,4,8117000,0,854089000,0
139,Cabo Verde,Africa,200000,0,76,3,19999000,0,837881000,0
140,Timor-Leste,East and Southeast Asia,277000,0,42,2,6825000,0,781995000,0
141,"Congo, Republic of the",Africa,842000,0,45,2,7351000,0,715391000,0
142,Benin,Africa,505000,0,30,1,6472000,0,698900000,0
143,Solomon Islands,Australia and Oceania,37000,0,128,4,5655000,0,688220000,0
144,Seychelles,Africa,156000,0,52,2,98847000,1,682794000,0
145,Bhutan,South Asia,2344000,0,70,3,64082000,1,654481000,0
146,Mali,Africa,1222000,0,44,2,4307000,0,647800000,0
147,Vanuatu,Australia and Oceania,39000,0,22,0,12934000,0,643768000,0
148,Liberia,Africa,199000,0,27,0,1822000,0,599660000,0
149,Malawi,Africa,731000,0,29,1,1792000,0,594498000,0
150,Maldives,South Asia,432000,0,58,3,50886000,0,590523000,0
151,"Gambia, The",Africa,162000,0,28,1,2731000,0,577028000,0
152,Djibouti,Africa,210000,0,36,1,10428000,0,502034000,0
153,Sierra Leone,Africa,149000,0,91,4,2301000,0,495699000,0
154,Eswatini,Africa,285000,0,50,2,18823000,0,479261000,0
155,Belize,Central America and the Caribbean,220000,0,87,4,30752000,0,473729000,0
156,Samoa,Australia and Oceania,54000,0,48,2,23476000,0,447090000,0
157,Saint Lucia,Central America and the Caribbean,93000,0,36,1,47522000,0,424324000,0
158,Grenada,Central America and the Caribbean,60000,0,36,1,41703000,0,404130000,0
159,Tonga,Australia and Oceania,34000,0,66,3,23272000,0,396530000,0
160,Central African Republic,Africa,63000,0,22,0,954000,0,374405000,0
161,Antigua and Barbuda,Central America and the Caribbean,148000,0,38,1,110114000,1,364367000,0
162,Guinea-Bissau,Africa,29000,0,27,0,2351000,0,356400000,0
163,Comoros,Africa,32000,0,26,0,7139000,0,324561000,0
164,Saint Kitts and Nevis,Central America and the Caribbean,72000,0,25,0,81454000,1,286075000,0
165,Saint Vincent and the Grenadines,Central America and the Caribbean,55000,0,57,3,37253000,0,280564000,0
166,Cayman Islands,Central America and the Caribbean,176000,0,21,0,143149000,1,234000000,0
167,Chad,Africa,167000,0,29,1,1502000,0,211591000,0
168,South Sudan,Africa,136000,0,15,0,2092000,0,183615000,0
169,Dominica,Central America and the Caribbean,41000,0,55,2,36395000,0,183530000,0
170,Zimbabwe,Africa,2491000,0,39,1,10855000,0,115530000,0
171,Burundi,Africa,131000,0,50,2,946000,0,90350000,0
172,Togo,Africa,326000,0,40,1,4538000,0,77800000,0
173,Burkina Faso,Africa,749000,0,55,2,3481000,0,49000000,0
174,Sao Tome and Principe,Africa,29000,0,50,2,8875000,0,46247000,0
175,Somalia,Africa,156000,0,3,0,649000,0,30450000,0
